NN,DTR
87.99712,101.67475844095789
90.98858,90.44135404093646
85.42269,61.40348612378744
91.26926,101.67475844095789
90.0404,200.92328495911917
87.99712,78.81103201778805
90.46198,105.51602973338257
89.93494399999999,229.6612719078252
68.550995,131.53965195717527
73.856415,85.48361582147909
87.99712,172.87629221710554
82.29887,123.26558268606303
87.99712,172.87629221710554
87.04568,40.76745137273205
88.45469,175.11613079114636
87.18681,229.6612719078252
79.697556,123.26558268606303
87.57444,143.03887811395555
112.264915,66.86428594746603
73.856415,85.48361582147909
84.67448399999998,52.333624419484956
112.095764,85.38755597476106
70.77794,114.04621809576027
81.97545,88.21080997817552
81.97545,88.21080997817552
89.33706,172.87629221710554
87.99712,172.87629221710554
82.153114,123.26558268606303
82.153114,123.26558268606303
87.46875,101.67475844095789
88.80643,115.84261601112682
81.86883,123.26558268606303
73.856415,85.48361582147909
73.856415,85.48361582147909
84.67448399999998,52.333624419484956
82.40178,123.26558268606303
82.40178,123.26558268606303
71.592674,130.27697794196183
57.37664399999999,43.11764120263259
57.37664399999999,43.11764120263259
87.892685,91.89341821442007
112.095764,40.76745137273205
70.600975,194.26621231486823
89.33706,105.51602973338257
89.122826,94.63503394279195
85.42121,94.18207855733544
74.23623,85.48361582147909
73.52648,85.48361582147909
74.23623,85.48361582147909
88.80643,121.26685078816172
87.57444,166.2387075174653
87.57444,113.90009260465874
70.88417,75.3305668271076
90.0404,176.89950667291959
87.46875,276.67856080872696
67.91115,122.16616772680871
67.91115,58.88770787505817
79.80443000000002,59.32859110763441
90.0404,166.2387075174653
87.57444,113.90009260465874
70.70715,122.16616772680871
73.52648,85.48361582147909
87.57444,166.2387075174653
84.96133,106.39224479376917
90.0404,89.61548388567523
88.876755,172.87629221710554
87.99712,172.87629221710554
89.51299,88.46074222548675
89.51299,88.46074222548675
88.52505,94.63503394279195
73.856415,85.48361582147909
81.97545,88.21080997817552
81.97545,88.21080997817552
87.04568,106.39224479376917
112.095764,105.31485437083904
87.46875,94.18207855733544
88.80643,94.63503394279195
73.856415,85.48361582147909
73.856415,85.48361582147909
97.47328,86.8556458193455
68.550995,75.3305668271076
89.51299,88.46074222548675
79.80443000000002,59.32859110763441
90.98858,166.2387075174653
71.94718,61.37878069119326
82.86334000000002,118.46255429021457
87.57444,166.2387075174653
73.856415,85.48361582147909
85.42121,113.057917259702
81.97545,88.21080997817552
73.856415,85.48361582147909
84.43025,67.63792510296442
88.59541,139.81949804035946
88.52505,94.63503394279195
87.04568,52.333624419484956
87.46875,94.76340193624685
70.600975,99.07596721177426
73.856415,85.48361582147909
87.46875,40.76745137273205
73.856415,85.48361582147909
110.028404,101.8680666807143
87.46875,113.90009260465874
87.99712,113.16814107990092
73.856415,85.48361582147909
73.856415,85.48361582147909
73.856415,85.48361582147909
73.856415,85.48361582147909
90.49711,229.6612719078252
87.99712,116.09276675754874
87.892685,66.36483162024157
88.80643,129.20880699790666
87.75059,85.8677812583711
88.80643,58.87080297019877
70.600975,55.56881836383968
62.95298,106.4411691785357
90.46198,95.13208592451878
73.856415,85.48361582147909
87.04568,24.28225637775325
87.46875,24.28225637775325
81.86881,85.22286036744659
87.04568,58.87080297019877
88.80643,85.8677812583711
90.46198,87.48249827884231
81.86881,12.420363706335984
87.99712,113.16814107990092
73.856415,85.48361582147909
87.46875,40.76745137273205
89.51299,88.46074222548675
81.97545,123.26558268606303
96.88437,61.37878069119326
87.46875,40.76745137273205
87.99712,83.66806514055547
82.36659,118.46255429021457
87.85552,103.98525672578447
74.24845,123.26558268606303
87.96115999999998,114.1799253072712
71.52379599999998,131.53965195717527
88.667,58.87080297019877
87.96115999999998,123.16020948593018
88.667,114.1799253072712
69.33057,131.26482775978027
87.85552,57.283012505449385
87.85552,92.9595033998519
96.222435,99.07596721177426
88.38351,113.16814107990092
82.26001,60.9356927564466
86.12755,73.23244874688736
71.43316999999998,143.1512841870308
88.38351,113.16814107990092
88.38351,113.16814107990092
88.38351,113.16814107990092
88.03158,116.09276675754874
72.3391,93.88075348313289
88.38351,172.87629221710554
87.96115999999998,92.9595033998519
88.38351,103.98525672578447
85.81173000000003,123.26558268606303
69.82524000000001,122.16616772680871
87.96115999999998,172.87629221710554
70.992584,122.16616772680871
73.24444,118.46255429021457
90.42549,113.72948108877186
72.65836999999998,123.26558268606303
87.85552,90.27190294276133
86.16286,88.46074222548675
91.23268,113.72948108877186
89.15991,113.72948108877186
80.267944,74.51536529609635
85.66824,122.39701737065526
82.69001,49.699592050884604
87.86058,85.22286036744659
91.75854,108.88119607163154
88.667,58.87080297019877
88.38351,113.16814107990092
87.85552,73.23244874688736
89.89848,146.37470495902272
